Cengage Advantage Books: The Speaker’s Compact Handbook,"Jo Sprague,Douglas Stuart,David Bodary",Cengage Learning,1/1/2016,"Packing a wealth of information into a succinct resource, CENGAGE ADVANTAGE BOOKS: THE SPEAKER’S COMPACT HANDBOOK, 5th Edition, provides a comprehensive yet concise reference for the introductory public speaking course. An excellent value and useful to students in any major, this brief handbook grounded in academic research and practical experience features speech excerpts and full-speech examples, illustrations, and critical thinking questions that students can use on their journey to becoming effective public speakers. The spiral-bound format and flexible standalone chapters allow students to access the topics they need to create great speeches easily, while Key Points, Quick Tips, and Checklists help them stay on track. New Web Links features point students to additional information on related topics. Important Notice: Media content referenced within the product description or the product text may not be available in the ebook version.",9.78E+12,http://books.google.com/books/content?id=FnhTCwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Learning to Perform,"Carol Simpson Stern,Bruce Henderson",Northwestern University Press,6/30/2010,"In Learning to Perform. Carol Simpson Stern and Bruce Henderson introduce the art and craft of performing literary texts, including poetry, prose fiction, and drama, as well as personal narratives and ethnographic materials. They present a performance methodology that offers instruction in close reading and analysis, the development and refinement of performance skills, and the ability to think critically about and discuss a performance. As students become reacquainted with the world of the imagination and its possibilities, the insights they gain in the classroom can become the basis for achievement not only on the stage or in front of the camera but in many facets of public life. By addressing an expanded sense of text that includes cultural as well as literary artifacts, Stern and Henderson bridge the gap between oral interpretation and the more inclusive field of performance studies. A substantial appendix provides a dozen texts for performance in the classroom, including works by Jane Hamilton, Willa Cather, Henry James, E.M. Forster, Henrik Ibsen, Jane Austen, and Michael S. Bowman.",9.78E+12,http://books.google.com/books/content?id=p771XKXga6AC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Sociolinguistics: A Very Short Introduction,John Edwards,Oxford University Press,7/25/2013,"This Very Short Introduction deals with the social life of language, presenting a succinct account of the most important aspects - both ""micro"" and ""macro"" - of sociolinguistics, such as language variation, language attitudes, and the relationship between language and identity.",9.78E+12,http://books.google.com/books/content?id=mZkeAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Talk,Linda Rosenkrantz,New York Review of Books,7/1/2015,"Friendships are built on chatter, on gossip, on revelations—on talk. Over the course of the summer of 1965, Linda Rosenkrantz taped conversations between three friends (two straight, one gay) on the cusp of thirty vacationing at the beach: Emily, an actor; Vince, a painter; and Marsha, a writer. The result was Talk, a novel in dialogue. The friends are ambitious, conflicted, jealous, petty, loving, funny, sex- and shrink-obsessed, and there's nothing they won't discuss. Topics covered include LSD, fathers, exes, lovers, abortions, S&M, sculpture, books, cats, and of course, each other. Talk was ahead of its time in recognizing the fascination and significance of nonfamily ties in contemporary life. It may be almost fifty years since Emily, Vince, and Marsha spent the season in East Hampton, but they wouldn't be out of place on the set of Girls or in the pages of a novel like Sheila Heti's How Should a Person Be?",9.78E+12,http://books.google.com/books/content?id=Z6zEoQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Sula,Toni Morrison,Vintage,2004,The intense friendship shared by two black women raised in an Ohio town changes when one of them leaves to roam the countryside and returns ten years later.,9.78E+12,http://books.google.com/books/content?id=lJ9iAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Introduction to Programming in Java,"Robert Sedgewick,Kevin Daniel Wayne",Addison-Wesley,2008,"By emphasizing the application of computer programming not only in success stories in the software industry but also in familiar scenarios in physical and biological science, engineering, and applied mathematics, Introduction to Programming in Java takes an interdisciplinary approach to teaching programming with the Java™ programming language. Elements of Programming: Your First Program; Built-in Types of Data; Conditionals and Loops; Arrays; Input and Output. Functions and Modules: Static Methods; Libraries and Clients; Recursion. Object-Oriented Programming: Data Types; Creating Data Types; Designing Data Types. Algorithms and Data Structures: Performance; Sorting and Searching; Stacks and Queues; Symbol Tables. For all readers interested in introductory programming courses using the Java programming language.",9.78E+12,http://books.google.com/books/content?id=XSAiAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The C Programming Language,"Brian W. Kernighan,Dennis M. Ritchie",,1988,"Introduces the features of the C programming language, discusses data types, variables, operators, control flow, functions, pointers, arrays, and structures, and looks at the UNIX system interface",9.78E+12,http://books.google.com/books/content?id=161QAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
OpenCV 2 Computer Vision Application Programming Cookbook,Robert Laganière,Packt Pub Limited,2011,"This is a cookbook that shows results obtained on real images with detailed explanations and the relevant screenshots. The recipes contain code accompanied with suitable explanations that will facilitate your learning. If you are a novice C++ programmer who wants to learn how to use the OpenCV library to build computer vision applications, then this cookbook is appropriate for you. It is also suitable for professional software developers wishing to be introduced to the concepts of computer vision programming. It can be used as a companion book in university-level computer vision courses. It constitutes an excellent reference for graduate students and researchers in image processing and computer vision. The book provides a good combination of basic to advanced recipes. Basic knowledge of C++ is required.",9.78E+12,http://books.google.com/books/content?id=REmTmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Harvest of Empire,Juan González,Penguin Paperbacks,2011,"Presents a history of Latinos in America, from the first colonies in the New World through today, and offers portraits of distinguished Americans of Hispanic descent that have played a key role in the evolving face of American life.",9.78E+12,http://books.google.com/books/content?id=ieUkYgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Navajo Lifeways,Maureen Trudelle Schwarz,University of Oklahoma Press,2001,"""I think what is always really amazing to me is that Navajo are never amazed by anything that happens. Because it is like in a lot of our stories they are already there.""--Sunny Dooley, Navajo Storyteller During the final decade of the twentieth century, Navajo people had to confront a number of challenges, from unexplained illness, the effects of uranium mining, and problem drinking to threats to their land rights and spirituality. Yet no matter how alarming these issues, Navajo people made sense of them by drawing guidance from what they regarded as their charter for life, their origin stories. Through extensive interviews, Maureen Trudelle Schwarz allows Navajo to speak for themselves on the ways they find to respond to crises and chronic issues. In capturing what Navajo say and think about themselves, Schwarz presents this southwestern people's perceptions, values, and sense of place in the world.",9.78E+12,http://books.google.com/books/content?id=Z-ubJgBvMxcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
